ecNum,#proteinId
3.2.1.59,18376
6.3.4.2,53482
4.2.1.3,200539
4.2.1.3,200539
4.2.1.3,200539
3.1.1.-,315259
3.1.1.-,315259
3.1.1.-,315259
1.97.1.4,320532
1.1.1.208,347512
2.7.1.33,436453
2.3.1.7,450402
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
3.2.1.20,457480
3.2.1.20,457480
2.7.7.7,459901
2.7.7.7,459901
2.7.7.7,459901
2.4.2.14,459963
2.4.2.14,459963
5.1.3.2,465499
5.1.3.2,465499
6.2.1.1,465504
6.2.1.1,465504
6.2.1.1,465504
6.2.1.1,465504
6.5.1.4,477349
3.6.1.-,478138
3.6.1.-,478138
3.1.-.-,478925
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
3.6.1.-,481551
3.6.1.-,481551
6.3.5.5,482143
6.3.5.5,482143
6.3.2.19,482667
5.4.99.-,484352
3.1.3.21,484491
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
3.2.1.58,485861
1.1.1.170,486771
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
5.1.3.2,487313
5.1.3.2,487313
1.14.99.29,488765
2.4.2.28,489449
4.2.1.1,489460
6.2.1.12,492483
3.6.1.3,492908
6.3.2.19,493623
5.2.1.8,496495
3.1.1.17,499063
3.1.1.17,499063
3.1.1.17,499063
2.3.1.7,499909
1.1.1.205,500091
3.4.19.12,500140
3.1.-.-,500591
6.3.2.19,501365
1.3.1.9,501544
2.3.1.7,503626
2.8.3.5,504211
2.8.3.5,504211
2.8.3.5,504211
3.2.1.59,539178
2.1.1.98,541602
3.1.1.74,543643
