ecNum,#proteinId
6.3.4.2,53482
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
2.1.1.35,84496
6.3.4.5,168860
6.3.4.5,168860
6.3.4.5,168860
2.7.7.6,198829
2.7.7.6,198829
2.7.7.6,198829
3.1.4.17,227879
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
5.1.3.2,254469
5.1.3.2,254469
6.5.1.1,309456
1.97.1.4,322384
1.14.-.-,330375
1.14.-.-,330375
1.14.-.-,330375
1.14.-.-,330375
2.7.7.19,435394
2.7.1.39,436373
1.14.14.-,441150
6.3.2.-,442574
6.3.2.-,442574
1.10.3.3,443002
2.1.1.14,449927
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
3.5.2.3,454668
2.7.7.6,455953
2.7.7.6,455953
2.7.7.6,455953
1.1.1.41,457674
2.7.4.3,458477
3.6.1.-,459794
3.6.1.-,459794
2.7.7.7,459901
2.7.7.7,459901
2.7.7.7,459901
2.4.2.14,459963
2.4.2.14,459963
4.2.1.90,471317
2.7.7.12,472455
2.7.7.12,472455
2.3.1.86,476350
2.3.1.86,476354
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
6.5.1.4,477349
6.3.4.4,477462
6.3.4.4,477462
3.6.1.3,477465
3.6.1.-,478138
3.6.1.-,478138
6.1.1.21,478436
6.1.1.21,478436
1.4.1.4,478511
1.4.1.4,478511
6.3.5.4,478814
6.3.5.4,478814
2.7.6.1,479469
2.7.6.1,479469
2.3.1.48,480565
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
6.3.5.2,480866
6.3.5.2,480866
3.1.26.5,481348
1.8.5.-,481428
3.6.4.-,481440
3.6.1.-,481551
3.6.1.-,481551
2.7.7.6,481632
2.7.7.6,481632
2.7.7.6,481632
6.3.5.5,482143
6.3.5.5,482143
1.1.1.34,482331
2.4.2.7,482639
6.3.2.19,482667
2.3.1.12,483381
2.3.1.12,483381
5.4.99.-,483482
6.3.5.5,484040
6.3.5.5,484040
5.4.99.-,484352
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
1.1.1.40,484708
1.1.1.40,484708
3.6.3.6,484855
2.4.2.-,485046
2.7.7.9,485202
2.7.7.9,485202
2.7.7.9,485202
2.7.7.9,485202
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
3.2.1.37,485973
3.2.1.37,485973
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
1.1.1.42,487391
1.1.1.42,487391
1.1.1.42,487391
2.7.1.6,488204
1.14.99.29,488765
5.3.3.2,489185
5.3.3.2,489185
4.2.1.24,489899
1.2.1.2,490091
1.2.1.2,490091
1.14.11.-,490260
2.3.3.1,490343
2.4.1.155,490975
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
1.8.1.2,491891
1.8.1.2,491891
1.15.1.1,492420
3.6.4.-,492553
3.6.3.9,492621
6.3.2.19,493623
1.1.1.95,493626
1.1.99.1,493978
1.1.1.38,495007
1.1.3.9,495318
1.1.1.86,495490
1.1.1.86,495490
5.2.1.8,496495
2.7.7.4,497348
2.7.7.4,497348
2.7.7.4,497348
2.1.2.1,498271
2.1.2.1,498271
2.1.2.1,498271
2.1.2.1,498271
2.1.2.1,498271
1.1.1.2,498806
1.1.1.2,498806
1.1.1.2,498806
1.1.1.2,498806
2.1.1.77,499271
2.3.1.7,499909
1.1.1.205,500091
3.1.-.-,500591
4.1.3.1,500682
2.1.1.77,501327
6.3.2.19,501365
2.3.1.7,503626
1.1.1.40,503648
1.1.1.40,503648
2.8.3.5,504211
2.8.3.5,504211
2.8.3.5,504211
3.1.4.11,504931
2.1.1.127,506625
1.5.5.1,506682
3.1.13.-,507780
3.1.26.-,508083
3.3.1.1,508539
3.3.1.1,508539
3.1.3.48,508690
2.1.1.43,510191
4.1.1.50,510790
3.6.3.44,511529
2.7.1.40,511786
2.7.1.40,511786
2.7.1.40,511786
2.7.1.40,511786
2.5.1.6,518666
2.5.1.6,518666
2.7.1.30,523897
1.97.1.4,535304
6.1.1.19,537287
6.1.1.19,537287
1.4.4.2,537425
2.1.1.41,539837
1.2.1.11,540246
1.2.1.11,540246
2.7.7.6,541550
2.7.7.6,541550
2.7.7.6,541550
2.1.1.98,541602
1.5.1.15,541617
