ecNum,#proteinId
1.1.1.2,44320
1.1.1.2,44320
1.1.1.2,44320
1.1.1.2,44320
3.6.3.29,59445
1.1.1.102,71299
1.1.2.3,109017
3.5.1.10,121006
3.5.1.10,121006
1.6.5.5,257278
1.1.1.65,292026
4.2.1.1,297583
3.2.1.31,318427
3.2.1.31,318427
3.2.1.31,318427
4.2.1.10,347244
3.4.19.12,358983
3.8.1.5,382679
3.8.1.5,382679
1.3.1.42,438737
1.14.11.13,439128
1.14.11.-,439515
1.97.1.4,453006
3.1.1.-,455646
3.1.1.-,455646
3.1.1.-,455646
6.3.5.2,461501
6.3.5.2,461501
1.1.1.100,462717
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
3.2.1.21,463439
3.2.1.21,463439
3.2.1.21,463439
1.1.1.30,470092
1.1.1.30,470092
4.1.99.3,473774
6.3.2.5,476733
3.2.1.28,477505
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
1.1.1.1,477714
1.1.1.1,477714
1.1.1.1,477714
1.1.1.1,477714
1.1.1.1,477714
1.1.1.9,477764
6.3.5.2,478019
6.3.5.2,478019
6.3.1.2,478026
6.3.1.2,478026
6.3.1.2,478026
1.1.1.100,479744
4.4.1.14,481039
3.2.1.40,483320
3.1.2.6,483789
3.8.1.2,484877
1.1.1.2,485414
1.1.1.2,485414
1.1.1.2,485414
1.1.1.2,485414
1.6.5.5,485881
2.6.1.13,488999
2.6.1.13,488999
2.7.1.29,489524
1.2.1.2,490091
1.2.1.2,490091
5.99.1.3,490609
1.3.5.1,491915
1.3.5.1,491915
1.2.1.5,492162
1.2.1.5,492162
1.2.1.5,492162
1.2.1.5,492162
1.6.1.2,492767
1.1.1.1,493945
1.1.1.1,493945
1.1.1.1,493945
1.1.1.1,493945
1.1.1.1,493945
1.6.5.5,496348
2.5.1.18,497103
1.13.11.-,497270
2.7.1.32,497425
6.3.2.19,498483
1.6.5.4,508856
4.4.1.5,512587
1.1.1.87,513814
3.6.1.17,537812
3.6.1.17,537812
3.2.1.59,539178
1.1.99.1,539380
3.1.1.74,543643
