ecNum,#proteinId
3.1.3.43,3913
2.1.1.77,47686
1.1.1.125,62614
4.2.1.75,155751
5.1.3.3,347270
3.2.1.58,438719
2.4.1.144,440973
3.1.1.-,466258
3.1.1.-,466258
3.1.1.-,466258
2.4.1.207,475966
3.1.1.47,477598
2.1.1.125,480053
3.1.26.3,481068
3.1.3.16,484274
2.3.1.48,485571
1.14.11.-,487254
1.16.3.1,491325
2.3.1.26,496051
1.3.1.34,496711
1.1.1.21,496972
1.1.1.21,496972
1.1.1.21,496972
1.1.1.21,496972
1.1.1.21,496972
3.2.1.21,497895
3.2.1.21,497895
3.2.1.21,497895
3.6.1.-,498817
3.6.1.-,498817
2.7.7.-,498865
2.7.7.-,498865
3.1.2.-,501844
1.14.-.-,504990
1.14.-.-,504990
1.14.-.-,504990
1.14.-.-,504990
3.2.1.14,507272
2.3.1.133,510274
1.1.1.14,513499
3.1.1.-,513743
3.1.1.-,513743
3.1.1.-,513743
