ecNum,#proteinId
3.2.1.26,9431
3.2.1.26,9431
2.1.1.37,39328
1.1.1.102,71299
2.3.2.8,71418
2.7.1.59,106272
2.7.1.59,106272
3.5.1.10,121006
3.5.1.10,121006
3.5.1.25,194376
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
1.6.5.5,257278
3.4.19.12,258385
4.2.1.1,297583
2.1.1.63,320651
3.8.1.5,382679
3.8.1.5,382679
1.14.11.13,439128
2.4.1.144,440973
3.2.1.20,443173
3.2.1.20,443173
1.97.1.4,453006
1.14.11.-,458921
6.3.5.2,461501
6.3.5.2,461501
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.2.1.3,463365
1.6.99.1,475898
3.2.1.28,477505
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
2.4.1.-,477690
1.1.1.9,477764
6.3.5.2,478019
6.3.5.2,478019
6.3.1.2,478026
6.3.1.2,478026
6.3.1.2,478026
1.1.1.100,479744
1.1.1.100,479762
4.4.1.14,481039
4.2.1.24,483020
3.2.1.40,483320
3.1.3.16,484274
3.8.1.2,484877
1.1.1.2,485414
1.1.1.2,485414
1.1.1.2,485414
1.1.1.2,485414
3.5.1.1,485857
3.5.1.1,485857
3.5.1.1,485857
3.2.1.58,485861
1.6.5.5,485881
1.14.11.-,487254
3.1.3.8,488436
3.1.3.1,488479
3.1.3.1,488479
3.1.3.1,488479
2.6.1.13,488999
2.6.1.13,488999
4.2.1.18,489665
3.-.-.-,491854
1.2.1.5,492162
1.2.1.5,492162
1.2.1.5,492162
1.2.1.5,492162
2.4.2.9,492276
3.5.1.4,493021
3.5.1.4,493021
3.5.1.4,493021
3.5.1.4,493021
3.5.1.4,493021
3.5.1.4,493021
1.1.1.103,493065
1.14.13.1,496344
1.14.13.1,496344
1.6.5.5,496348
1.1.1.21,496972
1.1.1.21,496972
1.1.1.21,496972
1.1.1.21,496972
1.1.1.21,496972
2.5.1.18,497103
1.13.11.-,497270
3.2.1.21,497895
3.2.1.21,497895
3.2.1.21,497895
3.2.1.25,497909
3.1.1.17,499063
3.1.1.17,499063
3.1.1.17,499063
3.1.2.-,501844
6.3.2.19,507138
1.6.5.4,508856
3.4.19.12,509593
2.3.1.133,510274
6.4.1.4,513684
3.1.1.-,513743
3.1.1.-,513743
3.1.1.-,513743
1.1.1.87,513814
