r_0061,3-isopropylmalate dehydrogenase,"(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]",0.00777247575
r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),4beta-methylzymosterol-4alpha-carboxylic acid[c] + NAD[c] => 3-dehydro-4-methylzymosterol[c] + carbon dioxide[c] + H+[c] + NADH[c],0.000492325275
r_0445,formate dehydrogenase,formate[c] + NAD[c] => carbon dioxide[c] + NADH[c],0.000616842525
r_0486,glyceraldehyde-3-phosphate dehydrogenase,"glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] <=> 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]",0.955884584295874
r_0491,glycerol-3-phosphate dehydrogenase (NAD),dihydroxyacetone phosphate[c] + H+[c] + NADH[c] => glycerol 3-phosphate[c] + NAD[c],-0.00741510056179192
r_0501,glycine cleavage system,"L-glycine[m] + NAD[m] + THF[m] => 5,10-methylenetetrahydrofolate[m] + ammonium[m] + carbon dioxide[m] + NADH[m]",0.00225869766369784
r_0505,glycine-cleavage complex (lipoamide),dihydrolipoamide[m] + NAD[m] => H+[m] + lipoamide[m] + NADH[m],0.483261805922171
r_0530,heme O monooxygenase,heme o[m] + NADH[m] + oxygen[m] => H2O[m] + heme a[m] + NAD[m],-0.000000041925
r_0536,histidinol dehydrogenase,H2O[c] + L-histidinol[c] + 2 NAD[c] => 3 H+[c] + L-histidine[c] + 2 NADH[c],0.010930686
r_0545,homoisocitrate dehydrogenase,homoisocitrate[m] + NAD[m] => 2-oxoadipic acid[m] + carbon dioxide[m] + H+[m] + NADH[m],0.00687611925
r_0546,homoserine dehydrogenase (NADH),H+[c] + L-aspartate 4-semialdehyde[c] + NADH[c] => L-homoserine[c] + NAD[c],-0.01986951525
r_0565,IMP dehydrogenase,H2O[c] + IMP[c] + NAD[c] => H+[c] + NADH[c] + xanthosine-5-phosphate[c],0.000256019205
r_0713,malate dehydrogenase,(S)-malate[m] + NAD[m] <=> H+[m] + NADH[m] + oxaloacetate[m],1.46353898966659
r_0714,"malate dehydrogenase, cytoplasmic",(S)-malate[c] + NAD[c] <=> H+[c] + NADH[c] + oxaloacetate[c],-1.56455463228838
r_0891,phosphoglycerate dehydrogenase,3-phosphonato-D-glycerate(3-)[c] + NAD[c] => 3-phospho-hydroxypyruvate[c] + H+[c] + NADH[c],0.0253262457707167
r_0961,pyruvate dehydrogenase,coenzyme A[m] + NAD[m] + pyruvate[m] => acetyl-CoA[m] + carbon dioxide[m] + NADH[m],0.55052942945611
r_0988,"saccharopine dehydrogenase (NAD, L-lysine forming)",H2O[c] + L-saccharopine[c] + NAD[c] => 2-oxoglutarate[c] + H+[c] + L-lysine[c] + NADH[c],0.00687611925
r_1092,xylitol dehydrogenase (D-xyulose-forming),NAD[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c],0.659
r_2183,"stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane",H+[erm] + stearoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + oleoyl-CoA[erm],-0.0163447674491776
t_0001,NADH dehydrogenase (complex I),5 H+[m] + NADH[m] + ubiquinone-6[m] => 4 H+[c] + NAD[m] + ubiquinol-6[m],-2.51269064841587
y300009,"oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane",H+[erm] + oxygen[erm] + NADH[erm] + oleoyl-CoA[erm] => linoleoyl-CoA[erm] + 2 H2O[erm] + NAD[erm],-0.00909454767020686
,,NADH flux,0.0436510864697332
,,NADH yield,0.0132880019694774
