jgi|Papla1|100015|CE100014_5173	OEJ89056.1	0.60	27.7	60	99	12	25.253	25
jgi|Papla1|100015|CE100014_5173	GMM42734.1	0.62	27.7	60	99	12	25.253	25
jgi|Papla1|100015|CE100014_5173	KAJ4342032.1	2.6	25.4	54	66	8	28.788	19
jgi|Papla1|100756|CE100755_334762	AMD21807.1	0.15	28.5	62	75	18	29.333	22
jgi|Papla1|100756|CE100755_334762	XP_017988803.1	0.15	28.5	62	75	18	29.333	22
jgi|Papla1|100756|CE100755_334762	AQZ15133.1	9.6	22.7	47	41	11	34.146	14
jgi|Papla1|10084|CE10083_6825	CAP91158.1	1.9	24.3	51	45	17	40.000	18
jgi|Papla1|10084|CE10083_6825	KAJ9568696.1	9.0	22.3	46	23	8	34.783	8
jgi|Papla1|10084|CE10083_6825	KTB18785.1	9.3	21.9	45	23	8	34.783	8
jgi|Papla1|10084|CE10083_6825	KTB25371.1	9.3	21.9	45	23	8	34.783	8
jgi|Papla1|101392|CE101391_25865	CCK70605.1	2.7	23.9	50	51	15	31.373	16
jgi|Papla1|101392|CE101391_25865	XP_022464851.1	2.7	23.9	50	51	15	31.373	16
jgi|Papla1|102170|CE102169_3054	QEU58871.1	1.2	26.2	56	38	7	44.737	17
jgi|Papla1|102170|CE102169_3054	ONH65757.1	7.7	23.5	49	58	11	24.138	14
jgi|Papla1|103257|CE103256_1148	OQE09368.1	0.24	27.7	60	48	10	31.250	15
jgi|Papla1|103257|CE103256_1148	GAV54886.1	2.0	25.0	53	64	14	23.438	15
jgi|Papla1|103257|CE103256_1148	OQE18915.1	2.5	24.6	52	37	8	32.432	12
jgi|Papla1|103257|CE103256_1148	CAP85922.1	2.9	24.3	51	37	8	32.432	12
jgi|Papla1|103539|CE103538_673	KAH3903218.1	4.5	24.6	52	12	2	58.333	7
jgi|Papla1|103539|CE103538_673	XP_045937146.1	4.5	24.6	52	12	2	58.333	7
jgi|Papla1|103539|CE103538_673	KAI5949764.1	5.6	24.3	51	10	2	70.000	7
jgi|Papla1|103539|CE103538_673	XP_051606919.1	5.6	24.3	51	10	2	70.000	7
jgi|Papla1|103539|CE103538_673	CAX45619.1	5.8	24.3	51	12	2	58.333	7
jgi|Papla1|103636|CE103635_34205	KAH3903218.1	3.3	25.0	53	31	4	51.613	16
jgi|Papla1|103636|CE103635_34205	XP_045937146.1	3.3	25.0	53	31	4	51.613	16
jgi|Papla1|103636|CE103635_34205	XP_003955628.1	3.4	25.0	53	86	12	26.744	23
jgi|Papla1|103636|CE103635_34205	CCF56493.1	3.4	25.0	53	86	12	26.744	23
jgi|Papla1|103803|CE103802_6715	AQM55801.1	7.9	23.5	49	23	4	52.174	12
jgi|Papla1|104250|CE104249_1671	CAK40612.1	9.5	21.2	43	45	25	31.111	14
jgi|Papla1|104250|CE104249_1671	XP_001394271.3	9.5	21.2	43	45	25	31.111	14
jgi|Papla1|104263|CE104262_15666	AQM55799.1	2.0	25.8	55	90	15	24.444	22
jgi|Papla1|104438|CE104437_2389	XP_003956453.1	0.78	26.6	57	40	5	37.500	15
jgi|Papla1|104438|CE104437_2389	CCF57318.1	0.78	26.6	57	40	5	37.500	15
